"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Micromonospora sp. IBSANI012",43.9862567103503,9.17533732980371,2.32197701939328,3.95151943932726,7.76565627879097e-05,0.000432935337542597
"Eisenbergiella porci",35.0616883359257,8.88141366098945,2.30248909667402,3.85730975830409,0.000114641842910096,0.000631237801702502
"Kutzneria buriramensis",34.2456957108906,8.85359903528339,2.33700114728026,3.78844445394773,0.000151593475947556,0.000824520613080607
"Sphaerotilus sulfidivorans",120.179262425096,-10.0248115025789,2.71142916103621,-3.69724263743914,0.000217954000746417,0.00117117451003496
"Marivirga salinarum",24.5471657969268,8.39312036706032,2.32154462906725,3.61531725988507,0.000299980020246897,0.00159275105988233
"Thiovibrio sp. Mzg5",27.7126110622224,8.51048160015042,2.36507946477321,3.59839139737595,0.000320191504674281,0.00168006365982035
"Sugiyamaella lignohabitans",58.9326606583018,-8.06806912602024,2.24567485414108,-3.59271472944648,0.000327250787435343,0.00169713780460655
"Streptomyces sp. NBC_00690",30.7338858570257,-8.0564098382417,2.28270127843121,-3.52933163632277,0.000416610697259036,0.00213572840204058
"Candidatus Leptofilum sp.",21.2020677478707,8.12301312595595,2.32703440519558,3.49071466576501,0.000481730438147707,0.00244149744788497
"Besnoitia besnoiti",98.5390714368198,-6.99153038365069,2.06061759984484,-3.39292956838626,0.000691494154233351,0.00346524036840533
"Vulgatibacter incomptus",32.8660581167023,8.72148854520355,2.60376442850844,3.34956897394886,0.000809374013959985,0.00401089789140171
"Pseudonocardia halophobica",87.40887586809,9.88437247536825,2.96039399917687,3.33887059564253,0.000841197407879316,0.00412279169136456
"Pyricularia grisea",54.6475161923002,6.7005164839515,2.02255425653507,3.31289826332296,0.000923345605763575,0.00447621891489733
"Salinibaculum marinum",34.7085036893742,8.61048045530288,2.61169340671553,3.29689558244566,0.000977598385151485,0.00468826752448992
"Alternaria dauci",25.1008903672076,-7.6068915527379,2.31070584209396,-3.29202073849631,0.00099470276378056,0.00471954715580989
"Amycolatopsis rhizosphaerihabitans",46.6144823222814,-8.55254087028817,2.65550817269512,-3.2206795513674,0.00127887055424572,0.00600396070730096
"Geoalkalibacter halelectricus",292.085298668135,5.63851647195096,1.76732717337023,3.19042028941281,0.00142066024761912,0.0066001507337305
"Ignicoccus hospitalis",16.7770558546954,-7.17157488393089,2.25877260785742,-3.17498753924307,0.00149842935741198,0.00688968549902829
"Colletotrichum destructivum",15.2783062086733,-7.04491192883798,2.27228068216085,-3.10037047101882,0.00193278729232945,0.00879615441202993
"Caldimonas brevitalea",25.6676617216275,7.87171306526468,2.54872001999286,3.08849658005462,0.00201172009046073,0.00897481202701455
